"","ï..License.Serial.Number","License.Type.Name","License.Class.Code","License.Type.Code","Agency.Zone.Office.Name","Agency.Zone.Office.Number","County.Name..Licensee.","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","License.Certificate.Number","License.Original.Issue.Date","License.Effective.Date","License.Expiration.Date","Latitude","Longitude","Location"
"31",2604659,"FARM WINERY",302,"FW","Albany",2,"BROOME","LONE MAPLE FARM LLC","","2001 HAWLEYTON RD","","BINGHAMTON","NY",13903,887007,2006-12-04,2016-12-01,2019-11-30,42.06973103,-75.92295325,"(42.06973103, -75.92295325)"
"32",2214802,"MICRO BREWER",101,"MI","Albany",2,"BROOME","BEER TREE BREW CO LLC","BEER TREE BREW CO","197 STATE RTE 369","","PORT CRANE","NY",13833,99999,2019-03-20,2019-09-01,2022-08-31,42.1711,-75.83101,"(42.1711, -75.83101)"
"33",2188448,"MICRO BREWER",101,"MI","Albany",2,"BROOME","NORTH BREWERY LLC THE","THE NORTH BREWERY","110 WASHINGTON AVE","","ENDICOTT","NY",13760,911548,2013-01-23,2019-01-01,2019-12-31,42.10225167,-76.04817203,"(42.10225167, -76.04817203)"
"34",2189976,"MICRO BREWER",101,"MI","Albany",2,"BROOME","GALAXY BREWING COMPANY LLC","","41 COURT ST","","BINGHAMTON","NY",13901,919170,2013-07-24,2019-07-01,2020-06-30,42.09870498,-75.91385283,"(42.09870498, -75.91385283)"
"35",2215273,"RESTAURANT BREWER",210,"MR","Albany",2,"BROOME","AB BREWING LLC","WATER STREET BREWING CO","168 WATER ST","","BINGHAMTON","NY",13901,910993,2019-05-10,2019-05-10,2022-04-30,42.09935,-75.91408,"(42.09935, -75.91408)"
"36",2205799,"WINERY",301,"DW","Albany",2,"BROOME","INNOVATIVE BOTTLING INC","","116 BROWN ST","BUILDING 2","JOHNSON CITY","NY",13790,886415,2017-02-16,2017-02-16,2020-01-31,42.11843,-75.96149,"(42.11843, -75.96149)"
"37",3159292,"DISTILLER ""A-1""",206,"DA","Buffalo",3,"CATTARAUGUS","STILLHOUSE OF BUFFALO LLC","","6600 RTE 219","","ELLICOTTVILLE","NY",14731,894993,2017-10-25,2017-10-25,2020-09-30,42.28596,-78.65914,"(42.28596, -78.65914)"
"38",3162363,"FARM DISTILLER ""D""",207,"DD","Buffalo",3,"CATTARAUGUS","STILLHOUSE OF BUFFALO LLC","STEELBOUND BREWERY & DISTILLERY","6600 RTE 219","","ELLICOTTVILLE","NY",14731,99999,NA,2019-05-09,2020-09-30,42.28596,-78.65914,"(42.28596, -78.65914)"
"39",3156645,"FARM DISTILLER ""D""",207,"DD","Buffalo",3,"CATTARAUGUS","ELLICOTTVILLE DISTILLERY LLC","","5462 ROBBINS RD","","ELLICOTTVILLE","NY",14731,914295,2016-04-12,2019-04-01,2022-03-31,42.31426,-78.61606,"(42.31426, -78.61606)"
"40",3154447,"MICRO BREWER",101,"MI","Buffalo",3,"CATTARAUGUS","S & W COMPANY LLC","ELLICOTTVILLE BREWING CO","28A MONROE ST","","ELLICOTTVILLE","NY",14731,912724,2014-04-01,2019-04-01,2020-03-31,42.2750462,-78.67074524,"(42.2750462, -78.67074524)"
"41",3159294,"MICRO BREWER",101,"MI","Buffalo",3,"CATTARAUGUS","STILLHOUSE OF BUFFALO LLC","","6600 RTE 219","","ELLICOTTVILLE","NY",14731,894994,2017-10-25,2017-10-25,2020-09-30,42.28596,-78.65914,"(42.28596, -78.65914)"
"42",3155872,"MICRO BREWER",101,"MI","Buffalo",3,"CATTARAUGUS","FOUR MILE BREWING LLC","","202 EAST GREEN ST","","OLEAN","NY",14760,914669,2015-05-01,2019-05-01,2020-04-30,42.07316,-78.42746,"(42.07316, -78.42746)"
"43",3160569,"MICRO BREWER",101,"MI","Buffalo",3,"CATTARAUGUS","S&W COMPANY LLC","ELLICOTTVILLE BREWING COMPANY","202 2ND ST","","LITTLE VALLEY","NY",14755,913937,2018-05-17,2019-05-01,2020-04-30,42.2498,-78.79359,"(42.2498, -78.79359)"
"44",3147155,"WINERY",301,"DW","Buffalo",3,"CATTARAUGUS","WINERY OF ELLICOTTVILLE LLC","","14 MONROE ST","","ELLICOTTVILLE","NY",14731,918007,2010-06-01,2019-06-01,2022-05-31,42.27594533,-78.67144075,"(42.27594533, -78.67144075)"
"46",2208769,"FARM BREWER",106,"FD","Albany",2,"CAYUGA","SHEPHERDS BREWING COMPANY LLC, THE","THE GOOD SHEPHERDS BREWING COMPANY","132 GENESEE ST","","AUBURN","NY",13021,912713,2018-02-20,2019-02-01,2020-01-31,42.93051,-76.56813,"(42.93051, -76.56813)"
"48",2196976,"FARM BREWER",106,"FD","Albany",2,"CAYUGA","LUNKENHEIMER CRAFT BREWING CO LLC","","8920 N SENECA ST","","WEEDSPORT","NY",13166,919340,2014-08-20,2019-08-01,2020-07-31,43.04928,-76.56268,"(43.04928, -76.56268)"
"49",2194601,"FARM DISTILLER ""D""",207,"DD","Albany",2,"CAYUGA","DILLS RUN VINEYARD INC","DILL'S RUN DISTILLERY","3862 STATE RTE 90","","UNION SPRINGS","NY",13160,887458,2014-01-14,2017-01-01,2019-12-31,42.8043816,-76.70368622,"(42.8043816, -76.70368622)"
"50",2213344,"FARM WINERY",302,"FW","Albany",2,"CAYUGA","HARD PRESSED CIDERY LLC","","8174 GRANT AVE","","WEEDSPORT","NY",13166,849416,2018-12-04,2018-12-04,2021-11-30,43.0134,-76.50709,"(43.0134, -76.50709)"
"51",2216191,"FARM WINERY",302,"FW","Albany",2,"CAYUGA","STERLING CIDERY LLC","","14451 RICHMOND AVE","","FAIR HAVEN","NY",13064,915856,2019-06-28,2019-06-28,2022-05-31,43.31629,-76.70398,"(43.31629, -76.70398)"
"52",2156512,"FARM WINERY",302,"FW","Albany",2,"CAYUGA","JOHN C IZZO","IZZOS WHITE BARN WINERY","6634 CAYUGA ROAD","RT 20 TO NORTH & GENESEE TO SO","CAYUGA","NY",13034,914183,2010-04-14,2019-04-01,2022-03-31,42.93857212,-76.70584455,"(42.93857212, -76.70584455)"
"53",2601808,"FARM WINERY",302,"FW","Albany",2,"CAYUGA","CJS VINEYARDS LLC","CJS VINEYARDS","6900 FOSTERVILLE RD","","AUBURN","NY",13022,918858,2002-07-12,2019-07-01,2022-06-30,42.95150618,-76.67038689,"(42.95150618, -76.67038689)"
"54",2168934,"FARM WINERY",302,"FW","Albany",2,"CAYUGA","ROBERT RAMOND WINTAMUTE & KATHYANN WINTAMUTE","THE APPLE STATION WINERY","5279 CROSS ROAD","","CAYUGA","NY",13034,919617,2011-08-23,2019-08-01,2022-07-31,42.87329271,-76.68317024,"(42.87329271, -76.68317024)"
"55",2129916,"FARM WINERY",302,"FW","Albany",2,"CAYUGA","ROBERT DUSSEAU & STEPHEN C DUSSEAU","CHATEAU DUSSEAU","5292 ERRON HILL RD","","LOCKE","NY",13092,912801,2006-02-03,2019-02-01,2022-01-31,42.6644869,-76.39331171,"(42.6644869, -76.39331171)"
"56",2606949,"FARM WINERY",302,"FW","Albany",2,"CAYUGA","HEART & HANDS WINE COMPANY INC","HEART & HANDS WINE COMPANY INC","4162 STATE ROUTE 90N","FARLEYS POINT RD & CARRS COVE","UNION SPRINGS","NY",13160,914859,2009-05-08,2019-05-01,2022-04-30,42.86764647,-77.2302568,"(42.86764647, -77.2302568)"
"57",2206981,"FARM WINERY",302,"FW","Albany",2,"CAYUGA","BRIGHT LEAF LLC","WILSON FAMILY CELLARS/BRIGHT LEAF VINEYARD","1250 CLEARVIEW RD","","KING FERRY","NY",13081,894792,2017-09-11,2017-09-11,2020-08-31,42.6589,-76.65742,"(42.6589, -76.65742)"
"58",2500915,"FARM WINERY",302,"FW","Albany",2,"CAYUGA","GIANCARELLI BROS WINERY LLC","GIANCARELLI BROTHERS WINERY","10252 SHORTCUT RD","","WEEDSPORT","NY",13166,911507,NA,2019-02-01,2022-01-31,43.11324711,-76.5348836,"(43.11324711, -76.5348836)"
"59",2500913,"FARM WINERY",302,"FW","Albany",2,"CAYUGA","KING FERRY WINERY INC","TRELEAVEN","658 LAKE ROAD","T/O GENOA","KING FERRY","NY",13081,918778,NA,2019-07-01,2022-06-30,42.64995364,-76.6355014,"(42.64995364, -76.6355014)"
"60",2202413,"MICRO BREWER",101,"MI","Albany",2,"CAYUGA","SUMMERHILL BREWING LLC","","384 CHAMPLIN RD","","GROTON","NY",13073,902895,2016-09-07,2018-09-01,2019-08-31,42.59086,-76.29685,"(42.59086, -76.29685)"
"61",2216183,"MICRO BREWER",101,"MI","Albany",2,"CAYUGA","PRISON CITY BREWING LLC","PRISON CITY PUB & BREWERY","28 STATE ST","","AUBURN","NY",13021,999999,NA,2019-07-22,2022-06-30,42.93179,-76.56824,"(42.93179, -76.56824)"
"62",2196544,"MICRO BREWER",101,"MI","Albany",2,"CAYUGA","SHEPHERDS BREWING COMPANY LLC, THE","THE GOOD SHEPHERDS BREWING COMPANY","31 LOOP RD","STE 1","AUBURN","NY",13021,903035,2014-08-26,2018-08-01,2019-07-31,42.93264,-76.56498,"(42.93264, -76.56498)"
"63",2211480,"RESTAURANT BREWER",210,"MR","Albany",2,"CAYUGA","NEXT CHAPTER BREWING COMPANY INC","NEXT CHAPTER BREWPUB","100 GENESEE ST","STE B","AUBURN","NY",13021,849276,2018-08-06,2018-08-06,2021-07-31,42.9313,-76.56673,"(42.9313, -76.56673)"
"64",2197185,"RESTAURANT BREWER",210,"MR","Albany",2,"CAYUGA","PRISON CITY BREWING LLC","PRISON CITY PUB & BREWERY","28 STATE ST","","AUBURN","NY",13021,895380,2014-12-16,2017-12-01,2020-11-30,42.93199,-76.56849,"(42.93199, -76.56849)"
"65",2195872,"WINERY",301,"DW","Albany",2,"CAYUGA","WEST BAY ESTATES LLC","COLLOCA ESTATE WINERY","14678 W BAY RD","","STERLING","NY",13156,892215,2014-08-12,2017-08-01,2020-07-31,43.3293,-76.72126,"(43.3293, -76.72126)"
"66",2500901,"WINERY",301,"DW","Albany",2,"CAYUGA","LONG POINT WINERY LTD","LONG POINT WINERY","1485 LAKE ROAD","","AURORA","NY",13026,883955,2010-06-17,2016-09-01,2019-08-31,42.71074334,-76.68579399,"(42.71074334, -76.68579399)"
"67",3155356,"BREWER",101,"D","Buffalo",3,"CHAUTAUQUA","SOUTHERN TIER BREWING COMPANY LLC","","2072 STONEMAN CIRCLE","","LAKEWOOD","NY",14750,918827,2014-12-10,2019-07-01,2020-06-30,42.08924,-79.35071,"(42.08924, -79.35071)"
"68",3153383,"DISTILLER ""A-1""",206,"DA","Buffalo",3,"CHAUTAUQUA","ROBERT MAZZA INC","FIVE & 20 SPIRITS","8398 W RTE 20","","WESTFIELD","NY",14787,919051,2013-07-29,2019-07-01,2022-06-30,42.30823259,-79.60389676,"(42.30823259, -79.60389676)"
"69",3152853,"DISTILLER ""A-1""",206,"DA","Buffalo",3,"CHAUTAUQUA","SOUTHERN TIER DISTILLING LLC","SOUTHERN TIER DISTILLING COMPANY","2051 A STONEMAN CIRCLE","","LAKEWOOD","NY",14750,912279,2013-01-23,2019-01-01,2021-12-31,42.08723516,-79.35331231,"(42.08723516, -79.35331231)"
"70",3160390,"FARM BREWER",106,"FD","Buffalo",3,"CHAUTAUQUA","BIG INLET BREWING INC","BIG INLET BREWING","6169 ELM FLATS RD","","MAYVILLE","NY",14757,919687,2018-08-15,2019-08-01,2020-07-31,42.26986,-79.47333,"(42.26986, -79.47333)"
"71",3156307,"FARM BREWER",106,"FD","Buffalo",3,"CHAUTAUQUA","STEPHEN R STANFORD","BEMUS BREW HOUSE","5186 ELLERY CENTRALIA RD","","DEWITTVILLE","NY",14728,903063,2015-08-04,2018-08-01,2019-07-31,42.22102,-79.35905,"(42.22102, -79.35905)"
"72",3155203,"FARM BREWER",106,"FD","Buffalo",3,"CHAUTAUQUA","ROBERT MAZZA INC","FIVE & 20 BREWING","8398 W RTE 20","","WESTFIELD","NY",14787,911668,2015-02-25,2019-02-01,2020-01-31,42.30828,-79.60394,"(42.30828, -79.60394)"
"73",3155559,"FARM DISTILLER ""D""",207,"DD","Buffalo",3,"CHAUTAUQUA","TWENTY NINE ACRE FARM LLC","SPIRITS OF THE BACKROAD","8083 MINTON RD","","WESTFIELD","NY",14787,899969,2015-03-27,2018-05-10,2020-02-29,42.29536,-79.58506,"(42.29536, -79.58506)"
"74",3156656,"FARM DISTILLER ""D""",207,"DD","Buffalo",3,"CHAUTAUQUA","SOUTHERN TIER DISTILLING LLC","SOUTHERN TIER DISTILLING COMPANY","2051 A STONEMAN CIR","","LAKEWOOD","NY",14750,914802,2016-05-12,2019-05-01,2022-04-30,42.08821,-79.35209,"(42.08821, -79.35209)"
"75",3156655,"FARM DISTILLER ""D""",207,"DD","Buffalo",3,"CHAUTAUQUA","ENCHANTED MOUNTAIN SPIRITS INC","","137 WATER ST","","JAMESTOWN","NY",14701,914315,2016-04-04,2019-04-01,2022-03-31,42.09561,-79.22873,"(42.09561, -79.22873)"
"76",3153382,"FARM DISTILLER ""D""",207,"DD","Buffalo",3,"CHAUTAUQUA","ROBERT MAZZA INC","FIVE & 20 SPIRITS","8398 W RTE 20","","WESTFIELD","NY",14787,919052,2013-07-29,2019-07-01,2022-06-30,42.30823259,-79.60389676,"(42.30823259, -79.60389676)"
"77",3136159,"FARM WINERY",302,"FW","Buffalo",3,"CHAUTAUQUA","LIBERTY VINEYARDS LLC","LIBERTY VINEYARDS AND WINERY","2861 ROUTE 20","","SHERIDAN","NY",14135,913941,2008-04-03,2019-04-01,2022-03-31,42.48329586,-79.24692928,"(42.48329586, -79.24692928)"
"78",3150620,"FARM WINERY",302,"FW","Buffalo",3,"CHAUTAUQUA","OLDE CHAUTAUQUA VINEYARDS LLC","TWENTYONE BRIX WINERY","6654 W MAIN RD","","PORTLAND","NY",14769,913412,2012-03-09,2019-03-01,2022-02-28,42.36901049,-79.49021924,"(42.36901049, -79.49021924)"
"79",3000878,"FARM WINERY",302,"FW","Buffalo",3,"CHAUTAUQUA","MERRITT ESTATE WINERY INC","MERRITT ESTATE WINERY","2264 KING ROAD","","FORESTVILLE","NY",14062,884695,NA,2016-10-01,2019-09-30,42.48489792,-79.20887391,"(42.48489792, -79.20887391)"
"80",3132243,"FARM WINERY",302,"FW","Buffalo",3,"CHAUTAUQUA","K E V INC","QUINCY CELLARS","10606 W MAIN RD","","RIPLEY","NY",14775,914316,2007-04-05,2019-04-01,2022-03-31,42.24897991,-79.74937729,"(42.24897991, -79.74937729)"
"83",3131629,"FARM WINERY",302,"FW","Buffalo",3,"CHAUTAUQUA","ALTON LENOX NOBLE","NOBLE WINERY","8630 HARDSCRABBLE RD","","WESTFIELD","NY",14787,880453,2006-09-22,2016-09-01,2019-08-31,42.29162457,-79.62167479,"(42.29162457, -79.62167479)"
"84",3155315,"FARM WINERY",302,"FW","Buffalo",3,"CHAUTAUQUA","SHERIDAN WINE COMPANY INC","WILLOW CREEK WINERY","2627 CHAPIN RD","","SILVER CREEK","NY",14136,896264,2015-03-04,2018-03-01,2021-02-28,42.5119,-79.23221,"(42.5119, -79.23221)"
"85",3153380,"FARM WINERY",302,"FW","Buffalo",3,"CHAUTAUQUA","ROBERT MAZZA INC","MAZZA CHAUTAUQUA CELLARS","8398 W RTE 20","","WESTFIELD","NY",14787,919050,2013-07-24,2019-07-01,2022-06-30,42.30823259,-79.60389676,"(42.30823259, -79.60389676)"
"86",3159583,"FARM WINERY",302,"FW","Buffalo",3,"CHAUTAUQUA","SPRAGUE VINEYARDS LLC","","778 VERSAILLES RD","","SILVER CREEK","NY",14136,849004,2017-12-13,2017-12-13,2020-11-30,42.51507,-79.11832,"(42.51507, -79.11832)"
"87",3000879,"FARM WINERY",302,"FW","Buffalo",3,"CHAUTAUQUA","DONALD M & ROSALIND R HEINERT","BLUEBERRY SKY FARM WINERY","10243 NE SHERMAN RD","","RIPLEY","NY",14775,915301,NA,2019-05-08,2022-04-30,42.19483549,-79.7219879,"(42.19483549, -79.7219879)"
"88",3130234,"FARM WINERY",302,"FW","Buffalo",3,"CHAUTAUQUA","SPARKLING PONDS WINERY LLC","","10661 W LAKE ROAD","","RIPLEY","NY",14775,915487,2006-07-10,2019-07-01,2022-06-30,42.2690361,-79.75421839,"(42.2690361, -79.75421839)"
"89",3157312,"MICRO BREWER",101,"MI","Buffalo",3,"CHAUTAUQUA","S&W COMPANY LLC","ELLICOTTVILLE BREWING COMPANY","57 LAKESIDE DR","","BEMUS POINT","NY",14712,914420,2016-05-10,2019-05-01,2020-04-30,42.15955,-79.39325,"(42.15955, -79.39325)"
"91",3000852,"WINERY",301,"DW","Buffalo",3,"CHAUTAUQUA","WINE GROUP LLC, THE","","85 BOURNE ST","","WESTFIELD","NY",14787,913237,1996-03-18,2019-03-01,2022-02-28,42.33217303,-79.57930656,"(42.33217303, -79.57930656)"
"92",3153381,"WINERY",301,"DW","Buffalo",3,"CHAUTAUQUA","ROBERT MAZZA INC","MAZZA CHAUTAUQUA CELLARS","8398 WEST ROUTE 20","","WESTFIELD","NY",14787,919053,2013-07-24,2019-07-01,2022-06-30,42.30823259,-79.60389676,"(42.30823259, -79.60389676)"
"93",3000849,"WINERY",301,"DW","Buffalo",3,"CHAUTAUQUA","WOODBURY VINEYARDS INC","WOODBURY VINEYARDS","3230 S ROBERTS RD","","FREDONIA","NY",14063,913354,NA,2019-02-15,2022-01-31,42.4554027,-79.26934911,"(42.4554027, -79.26934911)"
"94",3159952,"FARM BREWER",106,"FD","Buffalo",3,"CHEMUNG","DB BREWING LLC","DIVERSION BREWING COMPANY","729 WYNCOOP CREEK RD","","CHEMUNG","NY",14825,9999999,2018-01-30,2018-01-30,2020-11-30,42.01776,-76.62234,"(42.01776, -76.62234)"
"95",3157294,"FARM BREWER",106,"FD","Buffalo",3,"CHEMUNG","BRABANT BREWERY LLC","","1543 MAPLE AVE","","ELMIRA","NY",14904,918224,2016-06-06,2019-06-01,2020-05-31,42.06108,-76.78408,"(42.06108, -76.78408)"
"97",3152024,"FARM WINERY",302,"FW","Buffalo",3,"CHEMUNG","STONEYRIDGE ORCHARD & WINERY LLC","","160 BIXBY RD","","ERIN","NY",14838,919336,2012-07-27,2019-07-01,2022-06-30,42.15932566,-76.66190767,"(42.15932566, -76.66190767)"
"98",3156668,"MICRO BREWER",101,"MI","Buffalo",3,"CHEMUNG","DB BREWING LLC","DIVERSION BREWING COMPANY","729 WYNCOOP CREEK RD","","CHEMUNG","NY",14825,887885,2016-03-15,2017-03-01,2020-11-30,42.01776,-76.62234,"(42.01776, -76.62234)"
"99",3151650,"MICRO BREWER",101,"MI","Buffalo",3,"CHEMUNG","UPSTATE BREWING COMPANY LLC","","3028 LAKE RD","","ELMIRA","NY",14903,914174,2012-04-24,2019-04-01,2020-03-31,42.13318387,-76.81213516,"(42.13318387, -76.81213516)"
